Straftat;Kanton;Ausführungsgrad;Aufklärungsgrad;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Angriffe auf die Unabhängigkeit der Eidgenossenschaft (Art. 266);Appenzell Ausserrhoden;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angriffe auf die Unabhängigkeit der Eidgenossenschaft (Art. 266);Appenzell Ausserrhoden;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angriffe auf die Unabhängigkeit der Eidgenossenschaft (Art. 266);Appenzell Innerrhoden;Vollendet;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angriffe auf die Unabhängigkeit der Eidgenossenschaft (Art. 266);Appenzell Innerrhoden;Vollendet;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angriffe auf die Unabhängigkeit der Eidgenossenschaft (Art. 266);Appenzell Innerrhoden;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angriffe auf die Unabhängigkeit der Eidgenossenschaft (Art. 266);Appenzell Innerrhoden;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angriffe auf die Unabhängigkeit der Eidgenossenschaft (Art. 266);St. Gallen;Vollendet;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angriffe auf die Unabhängigkeit der Eidgenossenschaft (Art. 266);St. Gallen;Vollendet;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angriffe auf die Unabhängigkeit der Eidgenossenschaft (Art. 266);St. Gallen;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angriffe auf die Unabhängigkeit der Eidgenossenschaft (Art. 266);St. Gallen;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angriffe auf die Unabhängigkeit der Eidgenossenschaft (Art. 266);Graubünden;Vollendet;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angriffe auf die Unabhängigkeit der Eidgenossenschaft (Art. 266);Graubünden;Vollendet;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angriffe auf die Unabhängigkeit der Eidgenossenschaft (Art. 266);Graubünden;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angriffe auf die Unabhängigkeit der Eidgenossenschaft (Art. 266);Graubünden;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angriffe auf die Unabhängigkeit der Eidgenossenschaft (Art. 266);Thurgau;Vollendet;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angriffe auf die Unabhängigkeit der Eidgenossenschaft (Art. 266);Thurgau;Vollendet;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angriffe auf die Unabhängigkeit der Eidgenossenschaft (Art. 266);Thurgau;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angriffe auf die Unabhängigkeit der Eidgenossenschaft (Art. 266);Thurgau;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angriffe auf die verfassungsmässige Ordnung (Art. 275);Zürich;Vollendet;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angriffe auf die verfassungsmässige Ordnung (Art. 275);Zürich;Vollendet;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angriffe auf die verfassungsmässige Ordnung (Art. 275);Zürich;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angriffe auf die verfassungsmässige Ordnung (Art. 275);Zürich;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angriffe auf die verfassungsmässige Ordnung (Art. 275);Appenzell Ausserrhoden;Vollendet;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angriffe auf die verfassungsmässige Ordnung (Art. 275);Appenzell Ausserrhoden;Vollendet;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angriffe auf die verfassungsmässige Ordnung (Art. 275);Appenzell Ausserrhoden;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angriffe auf die verfassungsmässige Ordnung (Art. 275);Appenzell Ausserrhoden;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angriffe auf die verfassungsmässige Ordnung (Art. 275);Appenzell Innerrhoden;Vollendet;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
